Date,Price,Open,High,Low,Change %
2004/4/6,1.8424,1.8215,1.8447,1.819,1.21%
2004/4/7,1.8407,1.8441,1.8445,1.8337,-0.09%
2004/4/8,1.8336,1.8409,1.8471,1.8282,-0.39%
2004/4/9,1.8308,1.8331,1.8348,1.8296,-0.15%
2004/4/12,1.8398,1.8336,1.8407,1.8308,0.49%
2004/4/13,1.819,1.8394,1.8426,1.8129,-1.13%
2004/4/14,1.7917,1.8186,1.8192,1.7847,-1.50%
2004/4/15,1.7936,1.7906,1.7997,1.7759,0.11%
2004/4/16,1.7969,1.7921,1.8058,1.7826,0.18%
2004/4/19,1.8075,1.7968,1.8147,1.7968,0.59%
2004/4/20,1.7851,1.8067,1.8075,1.7844,-1.24%
2004/4/21,1.7746,1.7852,1.7857,1.7656,-0.59%
2004/4/22,1.7763,1.7742,1.7763,1.7624,0.10%
2004/4/23,1.7708,1.7759,1.7818,1.7639,-0.31%
2004/4/26,1.7868,1.7725,1.7898,1.7666,0.90%
2004/4/27,1.7921,1.7868,1.7942,1.7816,0.30%
2004/4/28,1.7719,1.7921,1.7975,1.7704,-1.13%
2004/4/29,1.774,1.7729,1.7813,1.758,0.12%
2004/4/30,1.7791,1.7741,1.781,1.7663,0.29%
2004/5/3,1.7706,1.7792,1.7797,1.7687,-0.48%
2004/5/4,1.7984,1.7715,1.7986,1.7704,1.57%
2004/5/5,1.7908,1.7965,1.802,1.7872,-0.42%
2004/5/6,1.7959,1.7909,1.7986,1.7875,0.28%
2004/5/7,1.7872,1.7933,1.8032,1.7823,-0.48%
2004/5/10,1.7767,1.786,1.7879,1.7704,-0.59%
